name,priority,ra,dec,ra (sex),dec (sex),spectral class,classification phase,classificationWRTMax,classification date,latest mag,abs peak mag,z,mpc,discovery date,last non-detection date,added to marshall,PI,pi email
AT2019lzq,HIGH,220.7713,8.7906,14:43:05.12,+08:47:26.1,,,,,18.5380,-15.4057,0.0142,61.4809,2019-07-30,2019-07-29,2019-07-30,,
AT2019lzm,HIGH,201.4487,-3.2339,13:25:47.68,-03:14:02.0,,,,,18.1630,,,,2019-07-30,,2019-07-30,,
AT2019lxb,HIGH,350.9026,-20.5854,23:23:36.61,-20:35:07.5,,,,,18.4510,,,,2019-07-29,2019-07-27,2019-07-29,,
AT2019lwu,HIGH,347.8013,-1.0030,23:11:12.31,-01:00:10.7,,,,,19.4000,,,,2019-07-24,2019-07-17,2019-07-29,,
AT2019lzp,MEDIUM,326.8771,-28.8795,21:47:30.49,-28:52:46.1,,,,,19.8620,,,,2019-07-29,2019-07-27,2019-07-30,,
AT2019lzl,MEDIUM,234.1382,7.0977,15:36:33.16,+07:05:51.7,,,,,18.9890,,,,2019-07-30,,2019-07-30,,
AT2019lxo,MEDIUM,3.5907,-21.1553,00:14:21.77,-21:09:19.1,,,,,19.2030,,,,2019-07-29,2019-07-27,2019-07-29,,
AT2019lxd,MEDIUM,262.8485,19.9663,17:31:23.64,+19:57:58.7,,,,,19.0690,,,,2019-07-29,2019-07-27,2019-07-29,,
AT2019lxf,MEDIUM,316.3277,-33.8491,21:05:18.65,-33:50:56.6,,,,,19.6720,,,,2019-07-29,2019-07-27,2019-07-29,,
AT2019lww,MEDIUM,246.4697,-14.3220,16:25:52.73,-14:19:19.2,,,,,18.8000,,,,2019-07-28,2019-07-22,2019-07-29,,
AT2019lws,MEDIUM,208.9957,-26.3142,13:55:58.97,-26:18:50.9,,,,,19.6800,,,,2019-07-29,2019-07-15,2019-07-29,,
AT2019lwb,MEDIUM,175.9506,19.9720,11:43:48.15,+19:58:19.1,,,,,17.2100,-17.7613,0.0226,98.6889,2019-07-26,2019-06-17,2019-07-29,,
AT2019lup,MEDIUM,211.6036,6.2298,14:06:24.86,+06:13:47.1,,,,,19.6800,-18.2760,0.0856,390.1128,2019-07-22,2019-07-13,2019-07-26,,
AT2019luf,MEDIUM,277.2485,26.9531,18:28:59.63,+26:57:11.0,,,,,18.5930,-18.2623,0.0528,234.9970,2019-07-21,2019-07-17,2019-07-26,,
AT2019lug,MEDIUM,225.6533,-32.0154,15:02:36.78,-32:00:55.3,,,,,18.7780,,,,2019-07-25,2019-07-21,2019-07-26,,
AT2019lty,MEDIUM,6.4641,25.9196,00:25:51.37,+25:55:10.4,,,,,18.6770,-17.2295,0.0345,151.8104,2019-07-25,2019-07-21,2019-07-26,,
AT2019ltz,MEDIUM,6.4327,-20.2169,00:25:43.84,-20:13:00.9,,,,,19.0740,,,,2019-07-25,2019-07-17,2019-07-26,,
AT2019lsj,MEDIUM,294.2464,-11.9538,19:36:59.13,-11:57:13.5,,,,,18.3800,-17.6983,0.0373,164.3079,2019-07-24,2019-07-22,2019-07-25,,
AT2019lrw,MEDIUM,185.0228,5.5854,12:20:05.46,+05:35:07.4,,,,,18.8800,-18.5738,0.0687,309.5763,2019-07-24,2019-07-18,2019-07-24,,
